IMO號,IMO轉,,船東,船東轉,,實際進港日,實際出港日,停留天數,,,編號,港口,編號轉
9048574,0,,長榮,0,,20200830,20200901,2,,,4205942420,八打雁,0
9059121,1,,陽明,1,,20200831,20200901,1,,,4207144796,上海,1
9059133,2,,萬海,2,,20200831,20200901,1,,,4208447277,千葉,2
9059145,3,,,,,20200831,20200901,1,,,4209043201,大阪,3
9074432,4,,,,,20200831,20200901,1,,,4209943590,山東青島,4
9074444,5,,,,,20200831,20200901,1,,,4210045396,川崎,5
9074456,6,,,,,20200831,20200901,1,,,4215042661,丹戎帕拉帕斯,6
9074468,7,,,,,20200901,20200902,1,,,4220242445,巴生港,7
9130535,8,,,,,20200901,20200902,1,,,4220242728,巴西古丹(巴錫爾古當),8
9130547,9,,,,,20200901,20200902,1,,,4220244723,巴拿馬其他港口,9
9130559,10,,,,,20200901,20200902,1,,,4221742427,日本其他港口,10
9132894,11,,,,,20200901,20200902,1,,,4231644268,他科馬,11
9132909,12,,,,,20200901,20200902,1,,,4234044197,卡洛,12
9134256,13,,,,,20200901,20200902,1,,,4234046556,卡萊港,13
9134268,14,,,,,20200901,20200902,1,,,4236442217,四日市,14
9158850,15,,,,,20200901,20200902,1,,,4249046759,光陽,15
9168831,16,,,,,20200901,20200902,1,,,4257242407,印尼其他港口,16
9168843,17,,,,,20200901,20200902,1,,,4258342346,名古屋,17
9182019,18,,,,,20200901,20200901,0,,,4268750348,江蘇連雲港,18
9182021,19,,,,,20200901,20200901,0,,,4283342331,利加班,19
9202168,20,,,,,20200901,20200901,0,,,4307842074,沙凡那,20
9202182,21,,,,,20200901,20200901,0,,,4319442443,那瓦夏瓦,21
9202194,22,,,,,20200901,20200901,0,,,4359043210,東京,22
9202209,23,,,,,20200901,20200901,0,,,4363442228,泗水,23
9202211,24,,,,,20200902,20200903,1,,,4376850553,長灘,24
9202235,25,,,,,20200902,20200903,1,,,4376942353,門司,25
9202247,26,,,,,20200902,20200903,1,,,4419743004,洛杉磯,26
9208150,27,,,,,20200902,20200903,1,,,4426846761,科隆,27
9208162,28,,,,,20200902,20200902,0,,,4436242963,胡志明,28
9208174,29,,,,,20200902,20200902,0,,,4447546308,香港,29
9208186,30,,,,,20200902,20200902,0,,,4478945290,泰國其他港口,30
9224506,31,,,,,20200902,20200902,0,,,4479742687,浙江寧波,31
9224520,32,,,,,20200902,20200902,0,,,4479643198,海防,32
9230206,33,,,,,20200903,20200904,1,,,4497142209,神戶,33
9230218,34,,,,,20200903,20200904,1,,,4499544281,紐約,34
9230220,35,,,,,20200903,20200904,1,,,4517742099,釜山,35
9230232,36,,,,,20200903,20200904,1,,,4522442407,馬尼拉,36
9233636,37,,,,,20200903,20200904,1,,,4522646767,高雄港,37
9233648,38,,,,,20200903,20200904,1,,,4529846761,基隆港,38
9237096,39,,,,,20200903,20200904,1,,,4538645758,宿移,39
9238155,40,,,,,20200903,20200903,0,,,4526643174,曼谷,40
9238167,41,,,,,20200903,20200903,0,,,4602343177,傑貝阿裏,41
