船舶呼號,英文名稱,中文名稱,IMO號,MMSI號,船東,船籍港,船種,船舶國籍,危險品,航線,出發港,目的港,實際進港日,實際進港時間,實際出港日,實際出港時間
3E3557,FUXING,富興,9381196,352980829,"FU XING SHIPPING CO., LIMITED",巴拿馬城,散裝船,巴拿馬,無危險品,,瓦里諾,,20220307,1015,20220310,1100
BNEA,KM SYDNEY,光明雪梨,9454278,416451000,光明海運股份有限公司,基隆港,散裝船,中華民國,無危險品,,Gladstone,基隆港,20220227,1900,20220302,0900
D5UP3,NAVE SPHERICAL,斯菲芮扣,9376751,636019453,TILOS SHIPPING CORPORATION,蒙羅維亞,油輪,賴比瑞亞,無危險品,,奢科島,新加坡,20220228,1100,20220302,1600
C6BT3,YAMATO SPIRIT,精神號,9414503,311000357,TEEKAY TANKERS TS HULL NO. S-1415 L.L.C.,拿騷,油輪,巴哈馬,無危險品,,鹿岛,,20220309,0345,20220311,1030
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220303,1315,20220305,0730
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220228,1837,20220302,0934
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220305,1611,20220316,0725
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220316,1814,20220317,0731
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220317,1419,20220325,0730
BQ3080,VENTUS LUGANG,峰達鹿港,9902079,416006164,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,布袋港,,20220325,1509,20220326,0905
BR4175,WORLD SAIL,保時揚,9681742,416005864,裕民航運股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,布袋港,,20220227,1752,20220325,1059
BR4175,WORLD SAIL,保時揚,9681742,416005864,裕民航運股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,布袋港,,20220325,1158,20220330,1401
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220228,1403,20220301,0736
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220301,1646,20220302,0744
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220302,1240,20220311,0732
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220311,1313,20220315,0756
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220315,1726,20220330,0751
BR4434,CWIND PHOENIX,奔馳,,416006678,國際海洋股份有限公司,高雄港,客船,中華民國,無危險品,,布袋港,,20220330,1808,20220331,0728
BR4303,PROSPEROUS ONE,風盛1號,9899674,416006144,風盛航運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,雲林離岸風力發電廠興建計畫,,20220311,1602,20220312,0758
BR4303,PROSPEROUS ONE,風盛1號,9899674,416006144,風盛航運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,雲林離岸風力發電廠興建計畫,,20220312,1643,20220314,0718
BR4303,PROSPEROUS ONE,風盛1號,9899674,416006144,風盛航運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,雲林離岸風力發電廠興建計畫,,20220314,1749,20220315,0759
BR4303,PROSPEROUS ONE,風盛1號,9899674,416006144,風盛航運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,雲林離岸風力發電廠興建計畫,,20220315,1735,20220322,0721
BR4472,Leuco Sapphire No.1,藍白1號,,416006841,藍白航運股份有限公司,高雄港,客船,中華民國,無危險品,,東港,東港,20220314,1327,20220330,0620
,HUNG SHING NO.1,宏興1號,,416006714,宏華營造股份有限公司,高雄港,挖泥船,中華民國,無危險品,,通霄港,通霄港,20211104,1533,20220303,0457
BQ3042,HUNG YUNN,宏運,,416237900,宏華營造股份有限公司,高雄港,拖船,中華民國,無危險品,,通霄港,高雄港,20220302,1656,20220303,0457
BR4340,ORIENT NO.8,東方8號,9457074,416006267,東方風能科技股份有限公司,高雄港,拖船,中華民國,無危險品,,通霄港,通霄港,20220310,2150,20220311,1709
BR3176,YI LIN NO.3,益霖3號,,416003045,益岷工程有限公司,高雄港,拖船,中華民國,無危險品,,觀塘港,臺中港,20220303,2343,20220304,0113
BQ3040,JUNG HSING NO.6,榮興6號,,416004302,榮興港灣工程股份有限公司,高雄港,工作船,中華民國,無危險品,,臺中港港外,臺中港港外,20211106,1507,20220303,0457
BR4323,FALCON I,宏隼1號,,416006192,宏華營造股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,海能離岸風力發電計畫,台電離岸風力發電第一期計畫,20211216,1453,20220301,0831
H8KP,XIANGSHENG HARMONY,祥勝和諧,9296755,351326000,XIANGSHENG HARMONY LIMITED,巴拿馬城,散裝船,巴拿馬,無危險品,,肯伐,肯伐,20220312,0947,20220315,2034
VRYT5,YAMTAI,燕泰,9085572,477678000,"HONGKONG YAMTAI INVESTMENT CO.,LIMITED",香港,散裝船,香港,無危險品,,福山,福山,20220328,1200,20220331,1633
BR4436,MAGELLAN 2,米霖2號,9633886,416060000,藍海離岸航運股份有限公司,臺中港,拖船,中華民國,無危險品,,大彰化西南離岸風電計畫,大彰化西南離岸風電計畫,20220321,1627,20220325,1309
BR4435,MAGELLAN 1,米霖1號,9623001,416059000,藍海離岸航運股份有限公司,臺中港,拖船,中華民國,無危險品,,大彰化西南離岸風電計畫,大彰化西南離岸風電計畫,20220325,1131,20220325,1605
BR4166,CWIND PHANTOM,奔騰,9770490,416005829,國際海洋股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,大彰化西南離岸風電計畫,大彰化西南離岸風電計畫,20220315,0855,20220316,0353
BR4166,CWIND PHANTOM,奔騰,9770490,416005829,國際海洋股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,大彰化西南離岸風電計畫,大彰化西南離岸風電計畫,20220316,0903,20220317,0345
BR4166,CWIND PHANTOM,奔騰,9770490,416005829,國際海洋股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,大彰化西南離岸風電計畫,大彰化西南離岸風電計畫,20220317,0851,20220320,0004
3FSA3,SEAJACKS SCYLLA,希捷斯希拉,9698939,356068000,SEAJACKS 5 LIMITED,巴拿馬城,工作船,巴拿馬,無危險品,,埃斯比約,新加坡,20220127,1020,20220324,1832
BR4583,REM INSPECTOR,雷莫洞悉者,9662083,416008683,雷莫海揚離岸股份有限公司,高雄港,工作船,中華民國,無危險品,,安平港,大彰化東南離岸風電計畫,20220305,0926,20220330,0618
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220305,1602,20220307,1010
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220317,2013,20220318,1044
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220324,1636,20220326,0624
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220312,2310,20220313,1152
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220313,2235,20220314,1150
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220309,2205,20220310,1203
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220318,1742,20220321,1020
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220321,2040,20220324,1522
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220311,2220,20220312,1208
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220307,1042,20220309,1217
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220314,2254,20220316,0948
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220310,2250,20220311,1207
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220326,1740,20220329,1111
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220316,2025,20220317,1008
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220303,0812,20220304,0903
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220304,2124,20220305,0900
BQ3083,VENTUS XINGANG,峰達新港,9909819,416006765,峰達海運股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,大彰化東南離岸風電計畫,20220301,1533,20220303,0720
PHKF,COASTAL GUARDIAN,海岸守護者,9447093,244564000,Coastal Shipping B.V.,Den Helder,多用途工作船,荷蘭,無危險品,,臺中港,,20220302,1515,20220304,0757
PHKF,COASTAL GUARDIAN,海岸守護者,9447093,244564000,Coastal Shipping B.V.,Den Helder,多用途工作船,荷蘭,無危險品,,臺中港,,20220304,1715,20220318,1303
PHKF,COASTAL GUARDIAN,海岸守護者,9447093,244564000,Coastal Shipping B.V.,Den Helder,多用途工作船,荷蘭,無危險品,,臺中港,,20220301,1820,20220302,0812
BR4470,SK DYNAMIK,仕國德,9721530,416006834,昱能南昌海事股份有限公司,高雄港,拖船,中華民國,無危險品,,臺中港,,20220301,1449,20220303,1351
BR3066,HUNG YUNN NO.3,宏運3號,,416000030,宏華營造股份有限公司,高雄港,拖船,中華民國,無危險品,,鹿港港,鹿港港,20220322,1951,20220324,0020
BR3066,HUNG YUNN NO.3,宏運3號,,416000030,宏華營造股份有限公司,高雄港,拖船,中華民國,無危險品,,通霄港,通霄港,20220320,0632,20220321,2000
