IMO轉,船東,出發港,目的港,實際進港日,實際出港日,編號轉,編號
53,0,八打雁,蘇比克灣,2022/3/6,2022/3/7,0,4205942420
53,0,八打雁,高雄港,2022/3/12,2022/3/12,0,4205942420
53,0,八打雁,高雄港,2022/3/22,2022/3/23,0,4205942420
44,0,上海,廣東蛇口,2022/3/10,2022/3/12,1,4207144796
10,0,上海,臺中港,2022/3/7,2022/3/7,1,4207144796
10,0,上海,臺中港,2022/3/20,2022/3/20,1,4207144796
10,0,上海,臺中港,2022/3/28,2022/3/29,1,4207144796
51,0,上海,香港,2020/9/1,2020/9/2,1,4207144796
51,0,上海,香港,2020/9/18,2020/9/19,1,4207144796
16,0,上海,香港,2022/3/10,2022/3/11,1,4207144796
20,0,上海,胡志明,2022/3/1,2022/3/2,1,4207144796
22,0,上海,胡志明,2022/3/5,2022/3/6,1,4207144796
23,0,上海,胡志明,2022/3/16,2022/3/16,1,4207144796
20,0,上海,胡志明,2022/3/23,2022/3/24,1,4207144796
22,0,上海,胡志明,2022/3/30,2022/3/30,1,4207144796
74,1,上海,江蘇連雲港,2020/9/6,2020/9/6,1,4207144796
74,1,上海,江蘇連雲港,2020/9/20,2020/9/21,1,4207144796
72,1,上海,江蘇連雲港,2022/3/29,2022/3/30,1,4207144796
17,0,上海,他科馬,2020/9/9,2020/9/10,1,4207144796
28,2,上海,上海,2020/8/31,2020/9/1,1,4207144796
28,2,上海,上海,2020/9/1,2020/9/2,1,4207144796
73,1,上海,上海,2020/9/1,2020/9/2,1,4207144796
28,2,上海,上海,2020/9/2,2020/9/2,1,4207144796
10,0,上海,上海,2020/9/4,2020/9/4,1,4207144796
29,2,上海,上海,2020/9/6,2020/9/7,1,4207144796
30,2,上海,上海,2020/9/6,2020/9/6,1,4207144796
29,2,上海,上海,2020/9/7,2020/9/7,1,4207144796
28,2,上海,上海,2020/9/9,2020/9/10,1,4207144796
28,2,上海,上海,2020/9/10,2020/9/11,1,4207144796
28,2,上海,上海,2020/9/11,2020/9/12,1,4207144796
10,0,上海,上海,2020/9/13,2020/9/13,1,4207144796
73,1,上海,上海,2020/9/16,2020/9/16,1,4207144796
28,2,上海,上海,2020/9/17,2020/9/18,1,4207144796
28,2,上海,上海,2020/9/18,2020/9/18,1,4207144796
29,2,上海,上海,2020/9/19,2020/9/20,1,4207144796
28,2,上海,上海,2020/9/19,2020/9/19,1,4207144796
10,0,上海,上海,2020/9/20,2020/9/21,1,4207144796
29,2,上海,上海,2020/9/20,2020/9/20,1,4207144796
28,2,上海,上海,2020/9/26,2020/9/27,1,4207144796
31,2,上海,上海,2020/9/26,2020/9/26,1,4207144796
28,2,上海,上海,2020/9/27,2020/9/28,1,4207144796
10,0,上海,上海,2020/9/29,2020/9/29,1,4207144796
73,1,上海,上海,2020/9/29,2020/9/29,1,4207144796
28,2,上海,上海,2022/3/1,2022/3/1,1,4207144796
